C_No.,Review Text,Star Rating,Polarity Scores
1,Zepto is just awesome,5,Satisfied
2,nice interesting in zepto,5,Satisfied
3,fastest app zepto... so this is my favourite app,5,Neutral
4,good,5,Satisfied
5,location not available 😞,1,Satisfied
6,it's too good,5,Satisfied
7,good,5,Satisfied
8,very good,5,Satisfied
9,bad servise,1,Dissatisfied
10,I orderd biscuits but one the biscuits was 1 row was fully crushed .then I open the products and take photos and videos of the biscuit condition then escalate to support team but that executive told product once opened means not given refund ....my question is how to I tell u my biscuits was crushed with out open the pocket....very disappointing with zepto,1,Extremely Dissatisfied
11,Good service,4,Satisfied
12,Bad support team ever I have seen in my life .I have ordered kids scooter before 9.45 pm on 10.12.2025 but not received yet . app is showing 15 minutes your order will be there.still waiting and will see when they deliver my order.,1,Neutral
13,best,5,Satisfied
14,ara phycsho team why ur not providing cost high to low and low to high sorting or filter,3,Dissatisfied
15,supb,5,Neutral
16,good service,5,Satisfied
17,To late,1,Neutral
18,"do not buy in zepto, weights are not according to that is given in their app, very less weights of vegetables, fruits",1,Neutral
19,good parsun,5,Satisfied
20,worse interface and no option for cancellation before delivery,1,Dissatisfied
21,on time delivery,5,Neutral
22,good👍,5,Satisfied
23,one egg damage,5,Dissatisfied
24,is app mein jo delivery partner Hain vah kabhi kabhi kya Aksar Hamesha vah order Jab dekhte hain achha hota hai to usko bol Dete Hain cancel kar diya hai maine aur cancel karne ke liye Khud Hi Rakh lete hain yah bahut galat baat hai aap log is is per support per koi bhi vah nahin hota hai support karne jao To Kuchh Bhi Nahin Pata Chalta Hai help Lo To Nahin Hota Hai Is per is Jab zepto ko action Lena chahie Mere Sath 3:00 se 4 bar ho chuka hai,1,Satisfied
25,"scam app. don't use this app to buy products. I loss around Rs4,000 INR. People will send duplicate products",1,Dissatisfied
26,kbi kbi damage product de deta h baki ok,3,Neutral
27,nice,5,Satisfied
28,Best aap ever. perfect items and price (cost ) and loving it 😆🫶🏻💗 . but according to me Zepto have to increase delivery boy talking way or response 😕 btw the other things is perfect 🤌🏻💗,5,Extremely Satisfied
29,good,5,Satisfied
30,very service,5,Neutral
31,Very disappointed experience not for single time but every time,1,Dissatisfied
32,nice zepto,5,Satisfied
33,fast service 👍👍👍,5,Neutral
34,good 👍 great,5,Extremely Satisfied
35,excellent service,5,Satisfied
36,super fast delivery,5,Satisfied
37,good,5,Satisfied
38,ontime delivery with polite persons,5,Neutral
39,Fast service,5,Neutral
40,"Off late, most of the fruits delivered are rotten and support also sucks. It's better to avoid the App for fruits & vegetables.",1,Dissatisfied
41,super,5,Satisfied
42,fast delivery,5,Neutral
43,No response just stalkers,1,Dissatisfied
44,very good service,5,Satisfied
45,great initiative but the app is not working nowadays and the store is closed is more often high demand is there that you are not able to meet,1,Neutral
46,very good app with excellent service and delivery guys behavior wass so good thank uh zepto ❤️,5,Extremely Satisfied
47,good 👍,5,Satisfied
48,Today I ordered dark chocolate and received an expired product. totally unhappy with zepto.,1,Dissatisfied
49,good,5,Satisfied
50,wrost,1,Neutral
51,Easy buying fast delivery good products,5,Satisfied
52,"I'm unable to install zepto, so help me to fix this issue",5,Satisfied
53,"very bad .. my experience because... zepto walo ne delivery boy chor rakha hai ... or yeh toh zepto wale log ka paisa dene ka chalaki hai ... issiliye toh mujhe zepto ke taraf se help bhi nhi mila ...,..",1,Dissatisfied
54,it's good,5,Satisfied
55,nice 👍👍,5,Satisfied
56,तुम इसको permissions देने में रह जाओ सका,1,Neutral
57,super fast delivery and amazing service. Keep it up 🔥,5,Satisfied
58,very well service,5,Satisfied
59,gud,5,Neutral
60,"I have used many grocery apps but there is no one like this one. It is the best in every field be it lowest price or customer service and everything is fresh, fruits, every single thing, grocery items are also the best and if I want to share my experience then according to me this is the best app for grocery and everything else🫂❤",5,Extremely Satisfied
61,order quick,5,Neutral
62,bekar ho tum,1,Neutral
63,Poor quality & Customer support. no longer needed this service. uninstalling the app now,1,Dissatisfied
64,thanku you,5,Neutral
65,good 💯,5,Satisfied
66,FAST delivery,5,Neutral
67,good service,5,Satisfied
68,great application,5,Satisfied
69,the service is very bad from the customer support. the product was spoiled and I did not get a refund or exchange when I reached the customer support and the answers were cold I lost 110 rupees.,1,Neutral
70,"I added the proper address and placed an order, but the order was not delivered to my location. The delivery boy marked the order as “Delivered” even though I didn’t receive it. Because of this, I don’t feel like using the app anymore.",1,Satisfied
71,good service but all peket opened all paket louse no bag🙏🙏🙏aal in best,5,Satisfied
72,job good 💯,5,Satisfied
73,SUPER APP,2,Satisfied
74,nice,1,Satisfied
75,Yes this service is really good.,5,Satisfied
76,amazing 😄,5,Extremely Satisfied
77,great service by ankit,5,Satisfied
78,👌,5,Satisfied
79,totally never understood,4,Neutral
80,"Since version 25.8.4, why the heck have you removed all the notification channels and pushing all the promotional as well as delivery-related notifications in a single channel called ""Default?!"" Also, stop showing popups every time I open the app. It's seriously infuriating!",1,Dissatisfied
81,nice,5,Satisfied
82,This app is not working on my phone,1,Neutral
83,good,5,Satisfied
84,very nice,5,Satisfied
85,noce,5,Neutral
86,anycash back,5,Neutral
87,very good food,5,Satisfied
88,kafi time se mai use kr rhi hoon yeh app bss problem yeh hai ki items missing rehte hai order mai kbhi kbhi agar available na ho toh app mai mat btao areawise taki hum jo available ho vhi order kare......,3,Dissatisfied
89,very efficient and good pricing,5,Satisfied
90,very good 👍🏻😊,5,Extremely Satisfied
91,good,5,Satisfied
92,very good,5,Satisfied
93,zepto is the best of the rest,5,Satisfied
94,better than blinkit because tjey charge 200 rs for free delivery and zepto has free delivery keep the good work,5,Extremely Satisfied
95,referral code is not showing for my account please fix this problem ASAP,1,Neutral
96,it is a best minute delivery aap,4,Satisfied
97,why not servicable in my area for many days now,2,Neutral
98,bahut badhiya,5,Neutral
99,"Zepto delivery address ratings vary by location and platform (like Justdial/Google Maps), generally hovering",5,Satisfied
100,worst app ever . i ordered a packet of frozen momos and it cam tron but when I message them . than they told it's not are fault and the product was 260 rs,1,Neutral
101,"not 10min delivery taking 20,30min minutes 😠😏",1,Dissatisfied
102,good services for quick shopping.,4,Satisfied
103,good,5,Satisfied
104,satisfied 👌🥰,5,Extremely Satisfied
105,good experience,4,Satisfied
106,I am not able to refer to any friend,1,Satisfied
107,good 👍,5,Satisfied
108,nice,5,Satisfied
109,nice,5,Satisfied
110,good service,4,Satisfied
111,good quality,5,Satisfied
112,super app,5,Satisfied
113,Good,5,Satisfied
114,the best aap,5,Satisfied
115,"pathetic customer support, selling expired products specially in the recent times",1,Neutral
116,App totally good but bring free cash back to improve more,4,Extremely Satisfied
117,good 😊👍,5,Extremely Satisfied
118,vary good 👍,5,Satisfied
119,maine rabdi or kheer magai thi bahut jyada test h uska rakhi hui de di h ab kabhi nhi magaugi isse ek bar palhe bhi aisa hua h mujhe mere pure paise chaiye,1,Neutral
120,good,5,Satisfied
121,its very fast and easy to use,5,Satisfied
122,good response and good delivery ❤️,5,Satisfied
123,nice,5,Satisfied
124,worst delivery app i used in india always online payment fail,1,Extremely Dissatisfied
125,awesome service,5,Satisfied
126,very good,5,Satisfied
127,fast delivery happy customer,5,Satisfied
128,good service 👍,5,Satisfied
129,amezing,5,Neutral
130,its help fully to people thanks 🙏👍,5,Satisfied
131,"worst service sending damaged products, immediately I ask to delivery person easily he said that, raise a complaint they will send replacement person, as it is very simple. but when I contact no one is responsible. why should I pay for a damaged product worst service ever.....",1,Extremely Dissatisfied
132,zepto is a real life partner 😍,5,Satisfied
133,"The worst experience, I wish I could give -1. they hire people who do not know how to read and so pass the burden of helping the delivery boys get to the right address to us. The basic and the only thing the delivery people need to know is to read addresses, talk in english and be able to navigate through the city easily. if that's not there, then don't hire them. This one delivery guy calls and doesn't speak for 1 whole minute and then talks in a language I don't understand.",1,Neutral
134,nice,5,Satisfied
135,super,5,Satisfied
136,chomu,1,Neutral
137,good,5,Satisfied
138,good service 💯,5,Satisfied
139,good delivery app in city,4,Satisfied
140,wonderful,5,Satisfied
141,good nice,5,Satisfied
142,mai kafi time sai notice kr rhi thi esliye ajj review kiya hai zepto nai 3time mera product change kr diya hai so bad,1,Dissatisfied
143,ok. good,5,Satisfied
144,super in emergency only one option in below 10 minutes for many things ofcourse it should give balance of amount of amound paid as free service today i want only 90 rupees worth yesterday i spent above 600 it should be in free service discount free small packets of any thing in kitchen not discounts you choose on beauty or AI 😄 dicount should be benifited not fake ok like AI or shoes or jewellary,5,Extremely Satisfied
145,GOOD APP,5,Satisfied
146,good,5,Satisfied
147,not good,5,Dissatisfied
148,today my payment not received not order received not showing order in my id,4,Neutral
149,naic app i am so happy 👌❤️👌👌👌💪,5,Extremely Satisfied
150,"app not working properly, not taking address",1,Neutral
151,good very fast service,4,Satisfied
152,ok,5,Satisfied
153,best app,5,Satisfied
154,nice app,5,Satisfied
155,most popular app in India,4,Satisfied
156,I'm not gonna use Zepto anymore in my lifetime. ive just uninstalled it..very poor customer service..I have never seen any online platforms who doesn't accept return/refund even for electronic appliances like iron box...,1,Dissatisfied
157,don't like it and product is costly,1,Dissatisfied
158,now is too good for me,5,Satisfied
159,tamatar no best,2,Dissatisfied
160,overall good,5,Satisfied
161,ever good service and packing,5,Satisfied
162,good 👍,5,Satisfied
163,This aap is good 🤗,5,Satisfied
164,really happy 😊 zepto,5,Extremely Satisfied
165,super,5,Satisfied
166,"tq zepot,",5,Neutral
167,work on product packaging and quality.,3,Neutral
168,"Fraudlent and fake offers, I saw offer an 100rs cashback on amazon upi payment, I didnt receive anything, Previously also I cannot use my wallet money in Zepto, is this a scam!",1,Dissatisfied
169,"bad app there is no option to connect with customer care and didn't provide any support and there is no chart option, only robotic options are there. You need to improve in this competitive Market.",1,Dissatisfied
170,"""Zepto app ko dekhke lagta hai bas ek hi cheez fast hai — unka ‘10-minute delivery’ jhooth. Baaki sab slow, useless aur headache. Order karo to lagta hai ki delivery boy Himalaya chadhne gaya hai, time ka to koi concept hi nahi. Customer support aisa behave karta hai jaise hum unka personal time waste kar rahe ho. Reply ka koi bhaav hi nahi. App to itni laggy hai ki open karo to phone ko bhi sharam aa jati hai. Kabhi item missing, kabhi galat cheez, kabhi expire ke kareeb maal —",1,Dissatisfied
171,Yes Zepto is often too helpful in times of need. Best thing is you don't need to stock goods at home 🏡,5,Extremely Satisfied
172,"The worst customer service,your agents will not at all understand the queries in spite of that, they will just use the repeated words worst in worst out of you need help from customer service team of zepto",1,Extremely Dissatisfied
173,"Losing trust n confidence, maintain earlier hopes",2,Extremely Satisfied
174,good 👍🏼,5,Satisfied
175,Satisfied. Thanks,5,Satisfied
176,useful,5,Satisfied
177,Good,5,Satisfied
178,good,5,Satisfied
179,best app,5,Satisfied
180,thank you,5,Satisfied
181,good,5,Satisfied
182,very good 👍,5,Satisfied
183,Good,5,Satisfied
184,price best and veggie fresh,5,Extremely Satisfied
185,worst delevery app I have seen ever ... I ordered groceries for delivering in just 6 minutes but it tooks more than 25 minutes....,1,Dissatisfied
186,I orderd baby product and my order was of 1094 rupees and i gpay the amount these zepto people allow me to wait for one and half hour still their rider was not available after waiting so long they cancelled my order and sending the message continuously that the amount will refund in 5 to 7 days this behaviour is not acceptable if you promised 24 hour services then you have to be assured with that some people have less money what the will do my small child need the baby powder urgently,1,Satisfied
187,"literally the worst app ever not even kidding, waited for almost 2 hours since order was not delivered... and DHANASHREE, ANURAG, ROSHNI, kindly talk to them and to the publicc, uninstall this app worst service ever",1,Dissatisfied
188,"what a disappointing experience. I ordered 3 small items around 2 AM. They took more than 1 hour and still couldn't find a delivery partner. Saying there is high demand. really, for straight 1 hour you can't find a delivery partner. And the audacity that after making me wait for more than 1 hour, they cancelled the order saying ""The payment is not completed"" I mean seriously? It has happened before too.",1,Dissatisfied
189,"they deliver fake product,don't try",1,Dissatisfied
190,very bad experience with zepto!!! Mai abhi kuch din pahle rat ko bhukh lagi thi to maine zepto se order Kiya payment bhi online kar di thi fir delivery ka time 10 minut dikha raha tha likin mere 1 :30 ghante wait karne ke bad bhi order nahi aaya fir maine jab inquiry ki to kah rah hai koi partner nahi mil raha hai aapka order ready hai aap apna order cancel kardo aur maine order cancel Kiya aur mera paise bhi wapas nahi mila😏😏,1,Extremely Dissatisfied
191,delivery guy was really rude and threatening to me,1,Extremely Dissatisfied
192,good,5,Satisfied
193,want more discount,4,Neutral
194,Very nice,1,Satisfied
195,WOW ☺️☺️🫣😲😯😱,5,Extremely Satisfied
196,I don't know why there is No bot or human available for issue related delivery.,1,Dissatisfied
197,good company,5,Satisfied
198,very good,5,Satisfied
199,Excellent 👌🏻,5,Extremely Satisfied
200,"Every time order getting delayed and took more than a hour, if you don't have proper delivery team then don't accept the order ,totally disappointed 🤦",1,Extremely Dissatisfied
201,not good,1,Dissatisfied
202,good 💯,5,Satisfied
203,don't purchase anything from.zepto post delivery there is no customer support chat with us option ua disables useless customer experience,1,Dissatisfied
204,fresh and good,5,Satisfied
205,scamers,1,Neutral
206,veri good,5,Satisfied
207,"Worst app. after adding items to cart it says unserviceable. Ridiculous strategy, if it's unserviceable show it first. this isn't happening for the first time, it's a regular affair.",1,Extremely Dissatisfied
208,it's good,5,Satisfied
209,Good,5,Satisfied
210,ok,5,Satisfied
211,best in everything,5,Satisfied
212,nice aap,5,Satisfied
213,acha he tension free is zepto,5,Satisfied
214,waste,1,Dissatisfied
215,taking every order 30 minutes to delivery.,1,Neutral
216,fast delivery Hai accha Hai thank you 🥰🥰🥰,5,Extremely Satisfied
217,suddenly stop delivering,1,Dissatisfied
218,much needed,5,Neutral
219,welldon job,5,Neutral
220,very bad service. don't order item anyone,1,Dissatisfied
221,Please give customer the cancellation option as sometimes we need orders at different places ..it would make us customers a great experience in dealing whereas all other things are good,4,Extremely Satisfied
222,Best and Fast Delivery App,5,Satisfied
223,I can not give below 1 star to said company. There is no responsibility for sold goods or products by company. in my case faulty product has been received but company provided number for said service centre which is switched off. pathetic experience. Will not recommend.,1,Extremely Dissatisfied
224,"Fast delivery Good services Good quality Good price Thank you 😊 for your good services I""ll love to shopping 🛍 again.....",5,Extremely Satisfied
225,"worst app ever better if we order in blinkit or swiggy not here ,ordered a parcel it showed 10 minutes when ordering now after ordering it's showing 22 minutes",1,Dissatisfied
226,good service,5,Satisfied
227,good service,5,Satisfied
228,"10 minutes delivery time turned out to be more than 60 minutes. 0 handling fees at the beginning turned out to be 20 at the end, big scam.",1,Dissatisfied
229,good 👍 app very useful,5,Satisfied
230,The chat support or customer support is very poor. it's hard to talk to executive and them providing solution is even hard. you don't get to return a product even if it's defective and not working,1,Neutral
231,Zepto delivery time does not match from real time.,3,Neutral
232,"24/7 surge fees, overpriced/irregularly priced items. edit : built my order to suddenly realize no instant delivery, only some scheduled delivery for next day. pathetic.",1,Dissatisfied
233,worst ever service even in metropolitan city like Delhi Dear zepto,1,Neutral
234,"Service in Greater Noida West used to be excellent, but now it constantly shows ‘busy,’ forces scheduling, and night delivery has been discontinued. It feels like customer care dropped once you got the money.",1,Extremely Satisfied
235,good.dilvari.boy,5,Neutral
236,unbelievable free delivery packaging gud dilivery 👍👍,4,Satisfied
237,good 😊,5,Extremely Satisfied
238,good experience,4,Satisfied
239,very good everything,5,Satisfied
240,Good,5,Satisfied
241,"the worst app with worst customer support, should avoid using these apps which does not value Customer interest.",1,Extremely Dissatisfied
242,good,5,Satisfied
243,Never ever order anything from zepto after placing an order they took 2 hours for delivery even there are no option to reach out to support team,1,Neutral
244,very very disappointing app first we have to wait half an hour then we can order and in 2 min it gain goes to unserviceable worst app,1,Dissatisfied
245,"delivery person ki life ko risk me daal rhe hai ye log just for profit, aaj se pahle hum log boltey the, dnt wry you r in india, but now dnt nikal chuka hai, corporates k haath me humara khana paani pohch gya hai.",1,Neutral
246,very bad experience thay have not delivering the items,1,Dissatisfied
247,I didn't use zepto much before but practically all other apps didn't have cash on delivery available except zepto and zepto also has an incredible amount of items to buy with good delivery drivers.,5,Satisfied
248,excellent service.,5,Satisfied
249,good 👍,5,Satisfied
250,"BUG 🪲: not able to add items from tshirt section, it is first added and showing in the bottom floating bar, but when you click on the cart it is not showing any item and when coming back it is removed from bottom bar also",3,Neutral
251,thankyou,5,Neutral
252,worst experience,1,Dissatisfied
253,good,5,Satisfied
254,poor quality of product,1,Dissatisfied
255,Satisfaction,5,Satisfied
256,very bad,1,Dissatisfied
257,Always there when you need anything for your household at the last minute. Love with your service.,5,Satisfied
258,such a worst app I ordered and ordered from another mobile also they didn't even send full order and didn't return money just leave a message of return in 5-7 days,1,Dissatisfied
259,charges too much price,1,Dissatisfied
260,after payment is done no orders are sent recently today and the support staff is horrible saying the refund will be done in 7 days. After sending payment proof also. Worst experience First time. also not ready to take reorder to make payment adjustment. It's a mistake to pay them before delivery.,1,Extremely Dissatisfied
261,best,5,Satisfied
262,good,5,Satisfied
263,best quality 👌,5,Extremely Satisfied
264,zepto is very best aaap because he is very fast delivered in iteams,5,Satisfied
265,super,5,Satisfied
266,excellent service 👍,5,Satisfied
267,I ordered thing but for no reason it got cancel and full payment should be done!!,4,Dissatisfied
268,Love you I am so happy,5,Extremely Satisfied
269,didn't got what I ordered and then they changed my cart and denied the refund,1,Dissatisfied
270,"😂mai order Kiya , lekin delivery boy aa hi nhi rha , call krne pe gali de rha , ky rha phle payment kro tbb Niklu me 😂🫵🏻",1,Dissatisfied
271,very tasty foods,3,Neutral
272,sabse ghatiya app hai costomer care not responding,1,Satisfied
273,very good,5,Satisfied
274,i love this app,5,Satisfied
275,bad quality product service varest customer service,1,Dissatisfied
276,time and money saving,5,Neutral
277,valueable products,4,Neutral
278,"I thought zepto is being customer obsessed now, however it is not true, the bot they have for customer support is annoying and when they finally say we are connecting to a customer care agent a human, that is also a bot. money will be debited and order is cancelled",1,Neutral
279,"very poor experience, their customer support executives cut the call of the customer when they fail to provide a satisfactory answer. They delivered a wrong product and when i raised a complaint, the executive said the order is correct. The company executives and the CEO should seriously consider outsourcing and training their customer support team to come in terms of world-class teams like BlinkIT or Zomato. Very very poor experience.",1,Extremely Dissatisfied
280,"speed delivery, fresh products, friendly service",5,Satisfied
281,best,5,Satisfied
282,excellent service,5,Satisfied
283,Really nice app must use,5,Satisfied
284,wow 😳😲,1,Extremely Satisfied
285,good,4,Satisfied
286,not service in all over Amritsar city,1,Neutral
287,good,5,Satisfied
288,Good,1,Satisfied
289,awesome,5,Satisfied
290,Excellent service,5,Satisfied
291,nice,5,Satisfied
292,nice,5,Satisfied
293,mere pass jo order aaya h vo low quality ka aaya h jb usko khaya to tabiyat kharab ho gyi thi or jb mene complaint ki to bol rhe h ki aage se nhi aayega 😡😡🤬🤬🤬🤬🤬,1,Dissatisfied
294,good quality product and service,5,Satisfied
295,"Whenever I try to pay online, it always says it's an error and my money gets deducted and I don't get a refund. Really disappointed with how Zepto's quality has deteriorated.",1,Extremely Dissatisfied
296,good service,5,Satisfied
297,worst experience too much handling charges,1,Dissatisfied
298,never delivered the order at the right time and they don't have any supporting team,1,Dissatisfied
299,best service,5,Satisfied
300,better than other 10min delivery platforms. definitely provides offers but previously we use to get free cash but not these days ! haha but genuine app,5,Extremely Satisfied
301,fast service,5,Neutral
302,very best app with great prices,5,Extremely Satisfied
303,very nice,5,Satisfied
304,good and fast service well,5,Satisfied
305,good,5,Satisfied
306,Good Service,5,Satisfied
307,very good 😍😍,5,Extremely Satisfied
308,"today I ordered the products from the Zapto and I haven't received my order. The amazing thing is that the delivery agent updated the status as delivered without delivering and when I contacted the zepto support team they are saying that as per our system order is delivered ,so we can't process a refund. means it's a total fraud going on from Zapto or delivery agent worst service & customer support if this comment reaches the company owner this is a loop hole to action",1,Neutral
309,good sarvice,5,Satisfied
310,Good Fast Delivery Thank u 👌,5,Extremely Satisfied
311,get best price,5,Satisfied
312,delivery and return that fulfills its purpose of when you need it and assurance that its delivery partners are treated as humans not machines.,5,Satisfied
313,super,5,Satisfied
314,don't used app,1,Neutral
315,good,5,Satisfied
316,"fast delivery,,, good product",5,Satisfied
317,promt delivery,5,Neutral
318,good package,5,Satisfied
319,"Must have app, excellent customer support.",5,Extremely Satisfied
320,zepto is very good and helpful aap... I love zepto,5,Extremely Satisfied
321,🤗🤗,4,Satisfied
322,Nice,5,Satisfied
323,very nice app bast aap and bast dilvary,5,Satisfied
